filename;start_time;end_time;orbit
C03/2022/02/S5p_SO2-COBRA_22518.nc;2022-02-16 14:20:26.077;2022-02-16 14:27:54.627;22518
C03/2022/02/S5p_SO2-COBRA_22519.nc;2022-02-16 16:01:56.221;2022-02-16 16:04:20.698;22519
C03/2022/02/S5p_SO2-COBRA_22529.nc;2022-02-17 09:00:50.090;2022-02-17 09:05:07.124;22529
C03/2022/02/S5p_SO2-COBRA_22530.nc;2022-02-17 10:38:26.239;2022-02-17 10:46:47.707;22530
C03/2022/02/S5p_SO2-COBRA_22531.nc;2022-02-17 12:19:54.222;2022-02-17 12:28:25.771;22531
C03/2022/02/S5p_SO2-COBRA_22532.nc;2022-02-17 14:01:24.486;2022-02-17 14:09:19.076;22532
C03/2022/02/S5p_SO2-COBRA_22533.nc;2022-02-17 15:42:54.030;2022-02-17 15:49:06.142;22533
C03/2022/02/S5p_SO2-COBRA_22543.nc;2022-02-18 08:44:27.534;2022-02-18 08:45:51.532;22543
C03/2022/02/S5p_SO2-COBRA_22544.nc;2022-02-18 10:19:32.366;2022-02-18 10:28:00.555;22544
C03/2022/02/S5p_SO2-COBRA_22545.nc;2022-02-18 12:00:52.550;2022-02-18 12:09:30.819;22545
C03/2022/02/S5p_SO2-COBRA_22546.nc;2022-02-18 13:42:22.574;2022-02-18 13:50:13.804;22546
C03/2022/02/S5p_SO2-COBRA_22547.nc;2022-02-18 15:23:51.758;2022-02-18 15:30:21.509;22547
C03/2022/02/S5p_SO2-COBRA_22557.nc;2022-02-19 08:26:59.419;2022-02-19 08:27:28.818;22557
C03/2022/02/S5p_SO2-COBRA_22558.nc;2022-02-19 10:00:45.772;2022-02-19 10:09:04.721;22558
C03/2022/02/S5p_SO2-COBRA_22559.nc;2022-02-19 11:41:50.717;2022-02-19 11:50:31.505;22559
C03/2022/02/S5p_SO2-COBRA_22560.nc;2022-02-19 13:23:20.501;2022-02-19 13:30:54.090;22560
C03/2022/02/S5p_SO2-COBRA_22561.nc;2022-02-19 15:04:50.524;2022-02-19 15:11:11.875;22561
C03/2022/02/S5p_SO2-COBRA_22572.nc;2022-02-20 09:42:08.778;2022-02-20 09:49:17.169;22572
C03/2022/02/S5p_SO2-COBRA_22574.nc;2022-02-20 13:04:18.787;2022-02-20 13:13:09.655;22574
C03/2022/02/S5p_SO2-COBRA_22575.nc;2022-02-20 14:45:48.090;2022-02-20 14:53:13.280;22575
C03/2022/02/S5p_SO2-COBRA_22586.nc;2022-02-21 09:23:37.423;2022-02-21 09:30:23.974;22586
C03/2022/02/S5p_SO2-COBRA_22588.nc;2022-02-21 12:45:16.432;2022-02-21 12:54:08.140;22588
C03/2022/02/S5p_SO2-COBRA_22589.nc;2022-02-21 14:26:46.936;2022-02-21 14:34:36.485;22589
C03/2022/02/S5p_SO2-COBRA_22600.nc;2022-02-22 09:06:09.864;2022-02-22 09:12:13.576;22600
C03/2022/02/S5p_SO2-COBRA_22601.nc;2022-02-22 10:44:45.532;2022-02-22 10:52:16.601;22601
C03/2022/02/S5p_SO2-COBRA_22603.nc;2022-02-22 14:07:44.619;2022-02-22 14:15:59.368;22603
C03/2022/02/S5p_SO2-COBRA_22604.nc;2022-02-22 15:49:14.882;2022-02-22 15:55:45.473;22604
